office,district,party,county,precinct,candidate,votes,winner
Superintendent of Public Instruction,,D,Albany,Albany County Public Library 51-1,Michelle L. Hoffman,9,
Superintendent of Public Instruction,,D,Albany,Albany County Public Library 51-2,Michelle L. Hoffman,50,
Superintendent of Public Instruction,,D,Albany,Spring Creek School 51-3,Michelle L. Hoffman,83,
Superintendent of Public Instruction,,D,Albany,Linford School 51-4,Michelle L. Hoffman,14,
Superintendent of Public Instruction,,D,Albany,Linford School 51-5,Michelle L. Hoffman,191,
Superintendent of Public Instruction,,D,Albany,Linford School 51-6,Michelle L. Hoffman,61,
Superintendent of Public Instruction,,D,Albany,Beitel School 61-1,Michelle L. Hoffman,1,
Superintendent of Public Instruction,,D,Albany,Beitel School 61-2,Michelle L. Hoffman,146,
Superintendent of Public Instruction,,D,Albany,Thayer School 61-3,Michelle L. Hoffman,172,
Superintendent of Public Instruction,,D,Albany,Thayer School 61-4,Michelle L. Hoffman,50,
State Senate,9,D,Albany,Slade School 31-1,Mike Massie,4,
State Senate,9,D,Albany,Slade School 31-2,Mike Massie,217,
State Senate,9,D,Albany,Albany County Public Library 31-3,Mike Massie,117,
State Senate,9,D,Albany,Spring Creek School 31-4,Mike Massie,116,
State Senate,9,D,Albany,Albany County Public Library 51-1,Mike Massie,14,
State Senate,9,D,Albany,Albany County Public Library 51-2,Mike Massie,57,
State Senate,9,D,Albany,Spring Creek School 51-3,Mike Massie,102,
State Senate,9,D,Albany,Linford School 51-4,Mike Massie,14,
State Senate,9,D,Albany,Linford School 51-5,Mike Massie,208,
State Senate,9,D,Albany,Linford School 51-6,Mike Massie,71,
State Senate,11,D,Albany,Rock River Town Hall 14-1,Bill Vasey,19,
State House,13,D,Albany,Slade School 31-1,Jane Warren,4,
State House,13,D,Albany,Slade School 31-2,Jane Warren,211,
State House,13,D,Albany,Albany County Public Library 31-3,Jane Warren,116,
State House,13,D,Albany,Spring Creek School 31-4,Jane Warren,117,
State House,45,D,Albany,Albany County Public Library 51-1,Seth Carson,12,
State House,45,D,Albany,Albany County Public Library 51-2,Seth Carson,36,
State House,45,D,Albany,Spring Creek School 51-3,Seth Carson,52,
State House,45,D,Albany,Linford School 51-4,Seth Carson,9,
State House,45,D,Albany,Linford School 51-5,Seth Carson,100,
State House,45,D,Albany,Albany County Public Library 51-1,Aaron Ross Owens,5,
State House,45,D,Albany,Albany County Public Library 51-2,Aaron Ross Owens,19,
State House,45,D,Albany,Spring Creek School 51-3,Aaron Ross Owens,48,
State House,45,D,Albany,Linford School 51-4,Aaron Ross Owens,6,
State House,45,D,Albany,Linford School 51-5,Aaron Ross Owens,100,
State House,46,D,Albany,Albany County Fairgrounds/Harmony 12-1,Jan Alvaney,177,
State House,46,D,Albany,Centennial School 13-1,Jan Alvaney,27,
State House,46,D,Albany,Beitel School 61-1,Jan Alvaney,1,
State House,46,D,Albany,Beitel School 61-2,Jan Alvaney,146,
State House,46,D,Albany,Thayer School 61-3,Jan Alvaney,181,
State House,46,D,Albany,Thayer School 61-4,Jan Alvaney,50,
State House,47,D,Albany,Rock River Town Hall 14-1,Linda L. Fleming,14,
State House,47,D,Albany,Rock River Town Hall 14-1,Bob Jackson,6,
